accession_new	accession_old	mag_id	source_fasta	needs_signalp	whole_proteome_role	source_sample_id	final_confidence
CU_CUST_000000001.1	CU_10C(CNS0876620)_bin.42	10C(CNS0876620)_bin.42	10C(CNS0876620)_bin.42.fa	True	False	10C(CNS0876620)	medium
CU_CUST_000000002.1	CU_10E(CNS0876622)_bin.14	10E(CNS0876622)_bin.14	10E(CNS0876622)_bin.14.fa	True	False	10E(CNS0876622)	none
CU_CUST_000000003.1	CU_FDZ039-Y14-16(OES00301306)_bin.1	FDZ039-Y14-16(OES00301306)_bin.1	FDZ039-Y14-16(OES00301306)_bin.1.fa	True	True	FDZ039-Y14-16(OES00301306)	low
CU_CUST_000000004.1	CU_FDZ044-RBk6-8(OES00301348)_bin.16	FDZ044-RBk6-8(OES00301348)_bin.16	FDZ044-RBk6-8(OES00301348)_bin.16.fa	True	False	FDZ044-RBk6-8(OES00301348)	low
CU_CUST_000000005.1	CU_FDZ046-Be6-8(OES00301368)_bin.67	FDZ046-Be6-8(OES00301368)_bin.67	FDZ046-Be6-8(OES00301368)_bin.67.fa	True	False	FDZ046-Be6-8(OES00301368)	medium
CU_CUST_000000006.1	CU_FDZ050-RBk6-8(OES00301429)_bin.113	FDZ050-RBk6-8(OES00301429)_bin.113	FDZ050-RBk6-8(OES00301429)_bin.113.fa	True	False	FDZ050-RBk6-8(OES00301429)	medium
CU_CUST_000000007.1	CU_FDZ054-Be30-32(OES00301484)_bin.6	FDZ054-Be30-32(OES00301484)_bin.6	FDZ054-Be30-32(OES00301484)_bin.6.fa	True	True	FDZ054-Be30-32(OES00301484)	low
CU_CUST_000000008.1	CU_FDZ058-Be0-2(OES00301511)_bin.116	FDZ058-Be0-2(OES00301511)_bin.116	FDZ058-Be0-2(OES00301511)_bin.116.fa	True	False	FDZ058-Be0-2(OES00301511)	low
CU_CUST_000000009.1	CU_FDZ060-HbR22-24(OES00301551)_bin.54	FDZ060-HbR22-24(OES00301551)_bin.54	FDZ060-HbR22-24(OES00301551)_bin.54.fa	True	False	FDZ060-HbR22-24(OES00301551)	low
CU_CUST_000000010.1	CU_FDZ061-WW12-14(OES00301577)_bin.79	FDZ061-WW12-14(OES00301577)_bin.79	FDZ061-WW12-14(OES00301577)_bin.79.fa	True	False	FDZ061-WW12-14(OES00301577)	low
CU_CUST_000000011.1	CU_FDZ061-WW8-10(OES00301591)_bin.46	FDZ061-WW8-10(OES00301591)_bin.46	FDZ061-WW8-10(OES00301591)_bin.46.fa	True	False	FDZ061-WW8-10(OES00301591)	medium
CU_CUST_000000012.1	CU_FDZ062-RRR14-16(OES00301611)_bin.17	FDZ062-RRR14-16(OES00301611)_bin.17	FDZ062-RRR14-16(OES00301611)_bin.17.fa	True	False	FDZ062-RRR14-16(OES00301611)	low
CU_CUST_000000013.1	CU_FDZ062-WuWW6-8(OES00301642)_bin.30	FDZ062-WuWW6-8(OES00301642)_bin.30	FDZ062-WuWW6-8(OES00301642)_bin.30.fa	True	False	FDZ062-WuWW6-8(OES00301642)	medium
