sp_norm	ogt_tempura	tmin_measured	ogt_madin	ogt_toki	ogt_ogtfinder	ogt_ogtfinder_sources	ogt_n_sources	ogt_measured	ogt_spread
"""caldisphaera draconis"""	71.0	60.0					1	71.0	0.0
"""geogemma barossii"""	106.0	85.0					1	106.0	0.0
'streptomyces viridis'			26.0				1	26.0	0.0
[bacillus] caldotenax			65.0				1	65.0	0.0
[bacillus] selenitireducens			26.0				1	26.0	0.0
[bacillus] solfatarensis			50.0				1	50.0	0.0
[bacillus] thermocloacae			57.0				1	57.0	0.0
[brevibacterium] frigoritolerans			29.0				1	29.0	0.0
[butyribacterium] methylotrophicum			38.5				1	38.5	0.0
[clostridium] aerotolerans			38.0				1	38.0	0.0
[clostridium] aldrichii			35.0				1	35.0	0.0
[clostridium] algidixylanolyticum			23.0				1	23.0	0.0
[clostridium] alkalicellulosi			36.25				1	36.25	0.0
[clostridium] amygdalinum			45.0				1	45.0	0.0
[clostridium] caenicola			55.0				1	55.0	0.0
[clostridium] celerecrescens			35.0				1	35.0	0.0
[clostridium] cellulolyticum			35.0				1	35.0	0.0
[clostridium] cellulosi			55.0		57.5	Lyubetsky et al., 2020	2	56.25	2.5
[clostridium] clariflavum			55.0				1	55.0	0.0
[clostridium] colinum			36.0				1	36.0	0.0
[clostridium] fimetarium			20.0				1	20.0	0.0
[clostridium] josui			45.0				1	45.0	0.0
[clostridium] lavalense			36.0				1	36.0	0.0
[clostridium] papyrosolvens			27.0				1	27.0	0.0
[clostridium] paradoxum			55.25				1	55.25	0.0
[clostridium] populeti			36.0				1	36.0	0.0
[clostridium] scindens			36.0				1	36.0	0.0
[clostridium] stercorarium			60.0				1	60.0	0.0
[clostridium] straminisolvens			50.0				1	50.0	0.0
[clostridium] termitidis			37.6				1	37.6	0.0
[clostridium] thermoalcaliphilum			49.75				1	49.75	0.0
[clostridium] thermosuccinogenes			65.8				1	65.8	0.0
[clostridium] xylanolyticum			36.0				1	36.0	0.0
[eubacterium] sulci					37.0	Lyubetsky et al., 2020	1	37.0	0.0
[flavobacterium] thermophilum			48.0				1	48.0	0.0
[haemophilus] ducreyi			32.0		36.0	Lyubetsky et al., 2020	2	34.0	4.0
[haemophilus] piscium			26.0				1	26.0	0.0
[kitasatospora] papulosa			26.0				1	26.0	0.0
[mannheimia] succiniciproducens			39.0				1	39.0	0.0
[mycoplasma] mobile					30.0	Lyubetsky et al., 2020	1	30.0	0.0
[nocardioides] thermolilacinus			45.0				1	45.0	0.0
[pasteurella] aerogenes			36.0				1	36.0	0.0
[polyangium] brachysporum			26.0				1	26.0	0.0
[pseudomonas] cissicola			27.0				1	27.0	0.0
[pseudomonas] geniculata			26.0				1	26.0	0.0
abditibacterium utsteinense	16.5	1.0					1	16.5	0.0
acaricomes phytoseiuli					25.0	BacDive	1	25.0	0.0
acaryochloris marina	29.0	20.0	24.9				2	26.95	4.100000000000001
acetitomaculum ruminis	38.0	34.0					1	38.0	0.0
acetivibrio cellulolyticus	35.0	20.0		35.0			2	35.0	0.0
acetivibrio clariflavus					57.5	BacDive;ThermoBase	1	57.5	0.0
acetivibrio saccincola					60.0	ThermoBase	1	60.0	0.0
acetivibrio thermocellus					60.0	ThermoBase	1	60.0	0.0
acetoanaerobium noterae			35.0				1	35.0	0.0
acetoanaerobium pronyense	35.0	15.0		35.0			2	35.0	0.0
acetoanaerobium sticklandii	33.5	25.0	36.0	33.5			3	34.333333333333336	2.5
acetobacter aceti			27.0	25.6666666666667	30.0	Lyubetsky et al., 2020	3	27.555555555555568	4.3333333333333
acetobacter cerevisiae			27.0				1	27.0	0.0
acetobacter estunensis			26.5				1	26.5	0.0
acetobacter lovaniensis			27.0				1	27.0	0.0
acetobacter malorum			29.0				1	29.0	0.0
acetobacter nitrogenifigens					30.0	aciDB	1	30.0	0.0
acetobacter oeni					28.0	BacDive	1	28.0	0.0
acetobacter orleanensis			26.5				1	26.5	0.0
acetobacter pasteurianus			26.5	27.17857142857145	30.0	Lyubetsky et al., 2020	3	27.89285714285715	3.5
acetobacter peroxydans			27.0				1	27.0	0.0
acetobacter sacchari	29.0	20.0		29.0			2	29.0	0.0
acetobacter senegalensis	35.0	28.0	35.0	35.0	35.0	BacDive	4	35.0	0.0
acetobacter sp.			27.0				1	27.0	0.0
acetobacter suratthaniensis	29.5	28.0		29.5			2	29.5	0.0
acetobacterium bakii	20.0	1.0	19.95	20.0			3	19.983333333333334	0.05000000000000071
acetobacterium carbinolicum	20.0	15.0					1	20.0	0.0
acetobacterium fimetarium			29.8				1	29.8	0.0
acetobacterium paludosum	20.0	1.0	19.95	20.0			3	19.983333333333334	0.05000000000000071
acetobacterium tundrae	20.0	1.0	21.05	20.0			3	20.349999999999998	1.0500000000000007
acetobacterium woodii					30.0	Lyubetsky et al., 2020	1	30.0	0.0
acetohalobium arabaticum	39.0	30.0		36.5	39.0	Lyubetsky et al., 2020	3	38.166666666666664	2.5
acetomicrobium flavidum	58.0	35.0	53.0	55.583333333333336	58.0	ThermoBase	4	56.145833333333336	5.0
acetomicrobium hydrogeniformans	55.0	40.0	55.0	55.0	55.0	ThermoBase	4	55.0	0.0
acetomicrobium mobile	57.5	35.0	54.9		57.5	ThermoBase	3	56.63333333333333	2.6000000000000014
acetomicrobium thermoterrenum	55.0	28.0	50.0	55.0	55.0	ThermoBase	4	53.75	5.0
acetonema longum	31.5	19.0	31.5				2	31.5	0.0
acholeplasma axanthum			32.0				1	32.0	0.0
acholeplasma hippikon	36.0	22.0		36.0			2	36.0	0.0
acholeplasma laidlawii					37.0	Lyubetsky et al., 2020	1	37.0	0.0
acholeplasma modicum	36.0	22.0					1	36.0	0.0
acholeplasma morum	36.0	23.0					1	36.0	0.0
acholeplasma oculi			35.0				1	35.0	0.0
achromobacter aloeverae	33.5	20.0					1	33.5	0.0
achromobacter cholinophagum			26.0				1	26.0	0.0
achromobacter cycloclastes			34.0				1	34.0	0.0
achromobacter insolitus			33.0				1	33.0	0.0
achromobacter insuavis			34.0				1	34.0	0.0
achromobacter piechaudii	29.0	18.0	31.5	29.3335			3	29.9445	2.5
achromobacter ruhlandii			29.0				1	29.0	0.0
achromobacter spanius			32.0				1	32.0	0.0
achromobacter veterisilvae	32.5	4.0		32.5			2	32.5	0.0
achromobacter xylosoxidans			31.0				1	31.0	0.0
acidaminococcus fermentans	33.5	25.0		34.375	33.5	Lyubetsky et al., 2020	3	33.791666666666664	0.875
acidianus ambivalens	80.0	70.0	79.7	80.0	80.5	ThermoBase	4	80.05	0.7999999999999972
acidianus brierleyi	70.0	45.0	70.0		70.0	ThermoBase;aciDB	3	70.0	0.0
acidianus copahuensis					75.0	aciDB	1	75.0	0.0
acidianus infernus	90.0	65.0	88.0	89.0	90.0	ThermoBase	4	89.25	2.0
acidianus manzaensis	80.0	60.0		80.0	65.0	ThermoBase;aciDB	3	75.0	15.0
acidianus sp.			70.0				1	70.0	0.0
acidianus sulfidivorans	74.0	45.0	70.0	69.66666666666667	74.0	ThermoBase;aciDB	4	71.91666666666667	4.333333333333329
acidianus tengchongensis	70.0	55.0			70.0	ThermoBase	2	70.0	0.0
acidibacillus sulfuroxidans	40.0	30.0					1	40.0	0.0
acidibacter ferrireducens	33.5	8.0					1	33.5	0.0
acidicaldus organivorans			50.0		52.5	aciDB	2	51.25	2.5
acidicapsa acidiphila	31.0	10.0					1	31.0	0.0
acidicapsa acidisoli	27.5	10.0					1	27.5	0.0
acidicapsa borealis			20.0				1	20.0	0.0
acidicapsa dinghuensis	27.5	12.0					1	27.5	0.0
acidicapsa ferrireducens	31.0	10.0					1	31.0	0.0
acidiferrobacter sp.					22.5	aciDB	1	22.5	0.0
acidiferrobacter thiooxydans	38.0	21.0		38.0	33.5	aciDB	3	36.5	4.5
acidihalobacter aeolianus					36.0	BacDive	1	36.0	0.0
acidihalobacter ferrooxidans			35.0				1	35.0	0.0
acidihalobacter ferrooxydans					30.0	aciDB	1	30.0	0.0
acidihalobacter prosperus			33.9		30.0	aciDB	2	31.95	3.8999999999999986
acidilobus aceticus	85.0	60.0	82.45		85.0	ThermoBase	3	84.14999999999999	2.549999999999997
acidilobus saccharovorans	82.5	60.0	80.0	81.389	82.5	ThermoBase;aciDB	4	81.59725	2.5
acidilobus sp.					85.0	aciDB	1	85.0	0.0
acidilobus sulfurireducens	81.0	62.0			81.0	ThermoBase	2	81.0	0.0
acidimicrobium ferrooxidans	48.0	34.0	46.15		48.0	Lyubetsky et al., 2020;ThermoBase;aciDB	3	47.38333333333333	1.8500000000000014
acidiphilium acidophilum	27.5	15.0	27.0				2	27.25	0.5
acidiphilium angustum			20.0		20.0	aciDB	2	20.0	0.0
