accession	domain	phylum	genus	target_class	iso	org	bare	fna_path	proteome_rel
GB_GCA_002050035.1	Bacteria	4484-113	4484-113	hyperthermophile	deep-sea hydrothermal vent sediments	Planctomycetales bacterium 4484_113	GCA_002050035.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/002/050/035/GCA_002050035.1_genomic.fna.gz	bacteria/GB_GCA_002050035.1_protein.faa.gz
GB_GCA_002084765.1	Bacteria	4572-55	4572-55	hyperthermophile	deep-sea hydrothermal vent sediments	Candidatus Cloacimonetes bacterium 4572_55	GCA_002084765.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/002/084/765/GCA_002084765.1_genomic.fna.gz	bacteria/GB_GCA_002084765.1_protein.faa.gz
GB_GCA_003697105.1	Bacteria	4572-55	J002	thermophile	iron-rich hot spring	Gemmatimonadota bacterium	GCA_003697105.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/003/697/105/GCA_003697105.1_genomic.fna.gz	bacteria/GB_GCA_003697105.1_protein.faa.gz
GB_GCA_003156235.1	Bacteria	Acidobacteriota	Telmatobacter	psychrophile	permafrost active layer soil	Acidobacteriaceae bacterium	GCA_003156235.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/003/156/235/GCA_003156235.1_genomic.fna.gz	bacteria/GB_GCA_003156235.1_protein.faa.gz
RS_GCF_002929535.1	Bacteria	Actinomycetota	Cryobacterium	psychrophile	ice core	Cryobacterium sp. Y11	GCF_002929535.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCF/002/929/535/GCF_002929535.1_genomic.fna.gz	bacteria/RS_GCF_002929535.1_protein.faa.gz
GB_GCA_021791875.1	Bacteria	Acidobacteriota	Acidobacterium	acidophile	acid mine drainage sediment	Acidobacteriota bacterium	GCA_021791875.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/021/791/875/GCA_021791875.1_genomic.fna.gz	bacteria/GB_GCA_021791875.1_protein.faa.gz
GB_GCA_013044265.1	Bacteria	Actinomycetota	RAAP-2	acidophile	acid mine drainage site biofilm from emergence; outflow channel; and Rose Pool	Acidimicrobiaceae bacterium	GCA_013044265.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/013/044/265/GCA_013044265.1_genomic.fna.gz	bacteria/GB_GCA_013044265.1_protein.faa.gz
GB_GCA_025056865.1	Bacteria	Acidobacteriota	JANWVO01	alkaliphile	green biofilm from alkaline hot spring	Bryobacteraceae bacterium	GCA_025056865.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/025/056/865/GCA_025056865.1_genomic.fna.gz	bacteria/GB_GCA_025056865.1_protein.faa.gz
GB_GCA_026416035.1	Bacteria	Actinomycetota	Parvivirga	alkaliphile	alkaline hot spring water	Coriobacteriia bacterium	GCA_026416035.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/026/416/035/GCA_026416035.1_genomic.fna.gz	bacteria/GB_GCA_026416035.1_protein.faa.gz
GB_GCA_014727835.1	Bacteria	Acidobacteriota	WJMT01	halophile	microbial mat from hypersaline water environment	Candidatus Aminicenantes bacterium	GCA_014727835.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/014/727/835/GCA_014727835.1_genomic.fna.gz	bacteria/GB_GCA_014727835.1_protein.faa.gz
GB_GCA_003565155.1	Bacteria	Actinomycetota	T1Sed10-7	halophile	hypersaline soda lake sediment	Nitriliruptoraceae bacterium	GCA_003565155.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/003/565/155/GCA_003565155.1_genomic.fna.gz	bacteria/GB_GCA_003565155.1_protein.faa.gz
GB_GCA_020440645.1	Bacteria	4484-113	JAHEFU01	mesophile	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	bacterium	GCA_020440645.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/020/440/645/GCA_020440645.1_genomic.fna.gz	bacteria/GB_GCA_020440645.1_protein.faa.gz
GB_GCA_020073215.1	Bacteria	Acidobacteriota	Acidiflorens	mesophile	sediments of a seasonal vernal pool	Terriglobia bacterium	GCA_020073215.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCA/020/073/215/GCA_020073215.1_genomic.fna.gz	bacteria/GB_GCA_020073215.1_protein.faa.gz
RS_GCF_016863255.1	Bacteria	Actinomycetota	Planosporangium	mesophile	Rhizosphere soil	Planosporangium mesophilum	GCF_016863255.1	/groups/cress/projects/jaymin/IS1111/gtdb/gtdb_genomes_reps_r232/database/GCF/016/863/255/GCF_016863255.1_genomic.fna.gz	bacteria/RS_GCF_016863255.1_protein.faa.gz
