domain	accession	ncbi_isolation_source	ncbi_organism_name	gtdb_taxonomy	phylum	class	order	family	genus	species	meta_iso_thermophile	meta_iso_thermophile_evidence	meta_org_thermophile	meta_iso_hyperthermophile	meta_iso_hyperthermophile_evidence	meta_org_hyperthermophile	meta_iso_psychrophile	meta_iso_psychrophile_evidence	meta_org_psychrophile	meta_iso_acidophile	meta_iso_acidophile_evidence	meta_org_acidophile	meta_iso_alkaliphile	meta_iso_alkaliphile_evidence	meta_org_alkaliphile	meta_iso_halophile	meta_iso_halophile_evidence	meta_org_halophile	meta_iso_classes	meta_org_classes	meta_iso_any	meta_org_any	bare	temperature_optimum	ph_optimum	salinity_optimum	pred_classes	final_label	final_confidence	confident_mesophile	final_thermophile	final_hyperthermophile	final_psychrophile	final_acidophile	final_alkaliphile	final_halophile
Bacteria	RS_GCF_016863255.1	Rhizosphere soil	Planosporangium mesophilum	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__Planosporangium;s__Planosporangium mesophilum	Actinomycetota	Actinomycetes	Mycobacteriales	Micromonosporaceae	Planosporangium	Planosporangium mesophilum	False		False	False		False	False		False	False		False	False		False	False		False			False	False	GCF_016863255.1	34.07137370520029	6.182412776216525	1.5525266473313877			none	True	False	False	False	False	False	False
Bacteria	GB_GCA_003156235.1	permafrost active layer soil	Acidobacteriaceae bacterium	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Telmatobacter;s__Telmatobacter sp003156235	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Telmatobacter	Telmatobacter sp003156235	False		False	False		False	True	permafrost	False	False		True	False		False	False		False	psychrophile	acidophile	True	True	GCA_003156235.1	29.342088354905545	5.868187830957709	0.3832290054389409		psychrophile	low	False	False	False	True	False	False	False
Bacteria	RS_GCF_002929535.1	ice core	Cryobacterium sp. Y11	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Cryobacterium;s__Cryobacterium sp002929535	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Cryobacterium	Cryobacterium sp002929535	False		False	False		False	True	ice core	True	False		False	False		False	False		False	psychrophile	psychrophile	True	True	GCF_002929535.1	17.42736245049844	7.626348565637565	0.0		psychrophile	low	False	False	False	True	False	False	False
Bacteria	GB_GCA_020073215.1	sediments of a seasonal vernal pool	Terriglobia bacterium	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Acidiflorens;s__Acidiflorens sp020073215	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidiflorens	Acidiflorens sp020073215	False		False	False		False	False		False	False		False	False		False	False		False			False	False	GCA_020073215.1	36.9071331548886	5.85018892732111	1.5595934633390511			none	False	False	False	False	False	False	False
Bacteria	GB_GCA_021791875.1	acid mine drainage sediment	Acidobacteriota bacterium	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium sp021791875	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidobacterium	Acidobacterium sp021791875	False		False	False		False	False		False	True	acid mine	True	False		False	False		False	acidophile	acidophile	True	True	GCA_021791875.1	36.91740661452336	5.04764085328372	1.9207897349669292		acidophile	low	False	False	False	False	True	False	False
Bacteria	GB_GCA_026416035.1	alkaline hot spring water	Coriobacteriia bacterium	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Anaerosomatales;f__Anaerosomataceae;g__Parvivirga;s__Parvivirga sp026416035	Actinomycetota	Coriobacteriia	Anaerosomatales	Anaerosomataceae	Parvivirga	Parvivirga sp026416035	True	hot spring	False	False		False	False		False	False		False	True	alkaline hot	False	False		False	alkaliphile;thermophile		True	False	GCA_026416035.1	49.98259061842696	7.272195361833359	0.0		alkaliphile;thermophile	low	False	True	False	False	False	True	False
Bacteria	GB_GCA_013044265.1	acid mine drainage site biofilm from emergence; outflow channel; and Rose Pool	Acidimicrobiaceae bacterium	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp013044265	Actinomycetota	Acidimicrobiia	Acidimicrobiales	RAAP-2	RAAP-2	RAAP-2 sp013044265	False		False	False		False	False		False	True	acid mine	True	False		False	False		False	acidophile	acidophile	True	True	GCA_013044265.1	34.339195437281035	3.4363330780185866	0.0	acidophile	acidophile	high	False	False	False	False	True	False	False
Bacteria	GB_GCA_003565155.1	hypersaline soda lake sediment	Nitriliruptoraceae bacterium	d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__T1Sed10-7;s__T1Sed10-7 sp003565155	Actinomycetota	Nitriliruptoria	Nitriliruptorales	Nitriliruptoraceae	T1Sed10-7	T1Sed10-7 sp003565155	False		False	False		False	False		False	False		False	True	soda lake	False	True	hypersaline	False	alkaliphile;halophile		True	False	GCA_003565155.1	28.941127419760683	9.194117700418536	5.989690253161573	alkaliphile;halophile	alkaliphile;halophile	high	False	False	False	False	False	True	True
Bacteria	GB_GCA_003697105.1	iron-rich hot spring	Gemmatimonadota bacterium	d__Bacteria;p__4572-55;c__4572-55;o__J002;f__J002;g__J002;s__J002 sp003697105	4572-55	4572-55	J002	J002	J002	J002 sp003697105	True	hot spring	False	False		False	False		False	False		False	False		False	False		False	thermophile		True	False	GCA_003697105.1	48.069272304518314	7.138421230503309	3.1718658659735572		thermophile	low	False	True	False	False	False	False	False
Bacteria	GB_GCA_025056865.1	green biofilm from alkaline hot spring	Bryobacteraceae bacterium	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JANWVO01;s__JANWVO01 sp025056865	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	JANWVO01	JANWVO01 sp025056865	True	hot spring	False	False		False	False		False	False		False	True	alkaline hot	False	False		False	alkaliphile;thermophile		True	False	GCA_025056865.1	57.81944743505889	7.1153187610542465	0.6769689091556259	thermophile	thermophile	high	False	True	False	False	False	False	False
Bacteria	GB_GCA_014727835.1	microbial mat from hypersaline water environment	Candidatus Aminicenantes bacterium	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__WJMT01;s__WJMT01 sp014727835	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	WJMT01	WJMT01 sp014727835	False		False	False		False	False		False	False		False	False		False	True	hypersaline	False	halophile		True	False	GCA_014727835.1	46.6728429794251	8.074773269685144	3.7851016448153647		halophile	low	False	False	False	False	False	False	True
Bacteria	GB_GCA_020440645.1	activated sludge from Shatin waste water treatment plant collected monthly from 2007 through 2015	bacterium	d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__JAFGCY01;g__JAHEFU01;s__JAHEFU01 sp020440645	4484-113	4484-113	4484-113	JAFGCY01	JAHEFU01	JAHEFU01 sp020440645	False		False	False		False	False		False	False		False	False		False	False		False			False	False	GCA_020440645.1	34.097366321326824	7.419763108962805	3.818916191716904			none	False	False	False	False	False	False	False
