mag_id	user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
10C(CNS0876620)_bin.42	10C_CNS0876620__bin.42	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__Penumbrarchaeales;f__Penumbrarchaeaceae;g__JBLIRG01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Penumbrarchaeia;o__Penumbrarchaeales;f__Penumbrarchaeaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.62	11	0.96396	N/A
10F(CNS0876623)_bin.27	10F_CNS0876623__bin.27	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	taxonomic classification fully defined by topology	N/A	N/A	91.94	11	0.99394	N/A
7C(CNS0876639)_bin.17	7C_CNS0876639__bin.17	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAJISG01;g__JAJISK01;s__JAJISK01 sp036444795	GCA_036444795.1	95.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAJISG01;g__JAJISK01;s__JAJISK01 sp036444795	98.47	0.847	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	92.29	11	N/A	N/A
7E(CNS0876641)_bin.48	7E_CNS0876641__bin.48	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__SOJC01;g__SOJC01;s__SOJC01 sp004376645	GCA_004376645.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__SOJC01;g__SOJC01;s__SOJC01 sp004376645	97.91	0.742	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	77.18	11	N/A	N/A
FDZ033-YBk0-2(OES00301283)_bin.59	FDZ033-YBk0-2_OES00301283__bin.59	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JAPUIC01;g__JAPUIC01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.75	11	0.98399	N/A
FDZ039-Y14-16(OES00301306)_bin.1	FDZ039-Y14-16_OES00301306__bin.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp022567895	GCA_022567895.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp022567895	96.9	0.841	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	92.38	11	N/A	N/A
FDZ050-RBk28-30(OES00301427)_bin.82	FDZ050-RBk28-30_OES00301427__bin.82	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeaceae;g__UBA493;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeaceae;g__UBA493;s__	taxonomic classification fully defined by topology	N/A	N/A	90.78	11	0.93099	N/A
FDZ054-Be30-32(OES00301484)_bin.6	FDZ054-Be30-32_OES00301484__bin.6	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp016838795	GCA_016838795.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp016838795	96.05	0.823	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_016838795.1, s__DRGT01 sp016838795, 95.0, 96.05, 0.823; GCA_022574415.1, s__DRGT01 sp022574415, 95.24, 94.83, 0.744; GCA_016838845.1, s__DRGT01 sp016838845, 95.0, 92.65, 0.658	92.61	11	N/A	N/A
FDZ060-HbR22-24(OES00301551)_bin.54	FDZ060-HbR22-24_OES00301551__bin.54	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Kariarchaeaceae;g__JAJRQD01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Kariarchaeaceae;g__JAJRQD01;s__	taxonomic classification fully defined by topology	N/A	N/A	87.18	11	0.94014	N/A
FDZ061-WW8-10(OES00301591)_bin.46	FDZ061-WW8-10_OES00301591__bin.46	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__GW2011-AR4;g__GCA-2686855;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__GW2011-AR4;g__;s__	taxonomic novelty determined using RED	N/A	N/A	92.9	11	0.93393	N/A
