mag_id	user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
10A(CNS0876618)_bin.16	10A_CNS0876618__bin.16	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__UBA8416;f__JAUUYL01;g__JAUUYL01;s__JAUUYL01 sp030590485	GCA_030590485.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__UBA8416;f__JAUUYL01;g__JAUUYL01;s__JAUUYL01 sp030590485	99.97	0.907	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	89.24	11	N/A	N/A
10A(CNS0876618)_bin.24	10A_CNS0876618__bin.24	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Coraliomargaritaceae;g__Lentimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Coraliomargaritaceae;g__Lentimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.24	11	0.98527	N/A
10A(CNS0876618)_bin.31	10A_CNS0876618__bin.31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAFGXI01;g__JAFGXI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAFGXI01;g__JAFGXI01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.44	11	0.98156	N/A
10A(CNS0876618)_bin.33	10A_CNS0876618__bin.33	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__Kiritimatiellales;f__Pontiellaceae;g__Pontiella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.73	11	0.95224	N/A
10A(CNS0876618)_bin.44	10A_CNS0876618__bin.44	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__GCA-2746365 sp030595325	GCA_030595325.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__GCA-2746365 sp030595325	99.65	0.894	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	92.32	11	N/A	N/A
10A(CNS0876618)_bin.45	10A_CNS0876618__bin.45	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GRL18;f__GRL18;g__GRL18;s__GRL18 sp015222495	GCA_015222495.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GRL18;f__GRL18;g__GRL18;s__GRL18 sp015222495	97.54	0.686	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	88.34	11	N/A	N/A
10A(CNS0876618)_bin.6	10A_CNS0876618__bin.6	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.21	11	0.97508	N/A
10B(CNS0876619)_bin.2	10B_CNS0876619__bin.2	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__FEN-1346;f__JAACEH01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__FEN-1346;f__JAACEH01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	88.06	11	0.8217	N/A
10B(CNS0876619)_bin.26	10B_CNS0876619__bin.26	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteriia;o__Krumholzibacteriales;f__WJIX01;g__JAGHBT01;s__JAGHBT01 sp030621255	GCA_030621255.1	95.0	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteriia;o__Krumholzibacteriales;f__WJIX01;g__JAGHBT01;s__JAGHBT01 sp030621255	97.52	0.884	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	83.75	11	N/A	N/A
10B(CNS0876619)_bin.37	10B_CNS0876619__bin.37	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia flatus	GCF_958439105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia flatus	99.86	0.946	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_958439105.1, s__Ralstonia flatus, 95.0, 99.86, 0.946; GCF_958349005.1, s__Ralstonia edaphi, 95.0, 94.78, 0.748; GCF_030582395.1, s__Ralstonia pickettii_D, 95.37, 92.76, 0.724; GCF_958405895.1, s__Ralstonia thomasii, 95.0, 92.42, 0.663; GCF_016466415.2, s__Ralstonia pickettii, 95.0, 92.41, 0.666; GCF_023955645.1, s__Ralstonia mojiangensis, 95.0, 91.65, 0.69; GCF_021173085.1, s__Ralstonia wenshanensis, 95.0, 91.65, 0.667; GCF_958347595.1, s__Ralstonia holmesii, 95.0, 91.22, 0.643; GCF_024158925.1, s__Ralstonia chuxiongensis, 95.0, 91.09, 0.661; GCF_958405935.1, s__Ralstonia psammae, 95.0, 90.98, 0.632	83.45	11	N/A	N/A
